Iteration, X position,Y position,Z position,X Velocity,Y Velocity,Z Velocity,Alpha,Phi,Omega 
174.000000 , 9.111833 , 0.695099 ,-2.237320 , 8.126080 ,1.964253 , -0.246780 ,14.267688 , 29.817537 ,49.321273 
175.000000 , 9.152410 , 0.704958 ,-2.238509 , 8.105030 ,1.979274 , -0.228675 ,14.299631 , 29.877776 ,49.318375 
176.000000 , 9.192883 , 0.714892 ,-2.239607 , 8.084044 ,1.994300 , -0.210550 ,14.331506 , 29.937096 ,49.315461 
177.000000 , 9.233251 , 0.724901 ,-2.240615 , 8.063122 ,2.009330 , -0.192405 ,14.363380 , 29.995518 ,49.312559 
178.000000 , 9.273514 , 0.734985 ,-2.241531 , 8.042263 ,2.024365 , -0.174240 ,14.395272 , 30.053014 ,49.309677 
179.000000 , 9.313674 , 0.745145 ,-2.242357 , 8.021467 ,2.039404 , -0.156057 ,14.427194 , 30.109570 ,49.306822 
180.000000 , 9.353729 , 0.755379 ,-2.243092 , 8.000732 ,2.054447 , -0.137856 ,14.459152 , 30.165169 ,49.303997 
181.000000 , 9.393681 , 0.765689 ,-2.243736 , 7.980059 ,2.069495 , -0.119638 ,14.491132 , 30.219783 ,49.301196 
182.000000 , 9.433530 , 0.776074 ,-2.244288 , 7.959445 ,2.084547 , -0.101404 ,14.523098 , 30.273380 ,49.298406 
183.000000 , 9.473276 , 0.786535 ,-2.244750 , 7.938892 ,2.099604 , -0.083155 ,14.555020 , 30.325991 ,49.295614 
184.000000 , 9.512919 , 0.797070 ,-2.245120 , 7.918399 ,2.114664 , -0.064891 ,14.586867 , 30.377599 ,49.292809 
185.000000 , 9.552460 , 0.807681 ,-2.245398 , 7.897964 ,2.129728 , -0.046613 ,14.618613 , 30.428199 ,49.289980 
186.000000 , 9.591899 , 0.818368 ,-2.245586 , 7.877587 ,2.144795 , -0.028322 ,14.650235 , 30.477825 ,49.287119 
187.000000 , 9.631236 , 0.829129 ,-2.245682 , 7.857268 ,2.159867 , -0.010018 ,14.681720 , 30.526551 ,49.284223 
188.000000 , 9.670471 , 0.839966 ,-2.245686 , 7.837006 ,2.174941 , 0.008298 ,14.713071 , 30.574456 ,49.281298 
189.000000 , 9.709606 , 0.850879 ,-2.245599 , 7.816801 ,2.190018 , 0.026627 ,14.744343 , 30.621529 ,49.278365 
190.000000 , 9.748639 , 0.861866 ,-2.245420 , 7.796653 ,2.205099 , 0.044966 ,14.775544 , 30.667793 ,49.275432 
191.000000 , 9.787572 , 0.872930 ,-2.245149 , 7.776560 ,2.220182 , 0.063317 ,14.806695 , 30.713253 ,49.272508 
192.000000 , 9.826405 , 0.884068 ,-2.244786 , 7.756522 ,2.235269 , 0.081677 ,14.837824 , 30.757888 ,49.269605 
193.000000 , 9.865138 , 0.895282 ,-2.244332 , 7.736538 ,2.250358 , 0.100047 ,14.868966 , 30.801649 ,49.266740 
194.000000 , 9.903771 , 0.906572 ,-2.243786 , 7.716609 ,2.265451 , 0.118425 ,14.900091 , 30.844517 ,49.263899 
195.000000 , 9.942304 , 0.917937 ,-2.243148 , 7.696732 ,2.280546 , 0.136810 ,14.931173 , 30.886468 ,49.261073 
196.000000 , 9.980738 , 0.929377 ,-2.242418 , 7.676909 ,2.295644 , 0.155203 ,14.962187 , 30.927493 ,49.258250 
